sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
4704,3:24.826 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277226746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17145,4,02 0F FF 78 
4705,3:24.826 703 688,"SysTick","ISR Exit","Returns to Idle",3277227259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17149,3,03 81 04 
4706,3:24.827 671 625,"SysTick","ISR Enter","Runs for 32.000 us",3277242746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17152,4,02 0F FF 78 
4707,3:24.827 703 625,"SysTick","ISR Exit","Returns to Idle",3277243258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17156,3,03 80 04 
4708,3:24.828 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277258746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17159,4,02 0F 80 79 
4709,3:24.828 703 688,"SysTick","ISR Exit","Returns to Idle",3277259259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17163,3,03 81 04 
4710,3:24.829 671 625,"SysTick","ISR Enter","Runs for 32.125 us",3277274746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17166,4,02 0F FF 78 
4711,3:24.829 703 750,"SysTick","ISR Exit","Returns to Idle",3277275260,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17170,3,03 82 04 
4712,3:24.830 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277290746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17173,4,02 0F FE 78 
4713,3:24.830 703 688,"SysTick","ISR Exit","Returns to Idle",3277291259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17177,3,03 81 04 
4714,3:24.831 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277306746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17180,4,02 0F FF 78 
4715,3:24.831 703 688,"SysTick","ISR Exit","Returns to Idle",3277307259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17184,3,03 81 04 
4716,3:24.832 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277322746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17187,4,02 0F FF 78 
