sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
0,0.000 000 000,"Idle","Start","",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,10,10,2,0A 00 
1,0.000 000 000,"Idle","Init","Cycle Freq.: 16000000, CPU Freq.: 16000000, ID Base: 0x20000000, ID Shift: 0",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,24,12,17,18 0E 80 C8 D0 07 80 C8 D0 07 80 80 80 80 02 00 00 
2,0.000 000 000,"Idle","System Description","N=FreeRTOS Application,D=Cortex-M4,O=FreeRTOS",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,29,48,0E 2D 4E 3D 46 72 65 65 52 54 4F 53 20 41 70 70 6C 69 63 61 74 69 6F 6E 2C 44 3D 43 6F 72 74 65 78 2D 4D 34 2C 4F 3D 46 72 65 65 52 54 4F 53 00 
3,0.000 000 000,"Idle","System Description","I#15=SysTick",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,77,15,0E 0C 49 23 31 35 3D 53 79 73 54 69 63 6B 00 
4,0.000 000 000,"Idle","System Time (us)","0 us",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,13,92,4,0D 00 00 00 
5,0.000 000 000,"Idle","Num Modules","Registered Modules: 0",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,27,96,4,1B 01 00 00 
6,0.000 000 000,"Idle","Task Create","Task-1 (0x00000468)",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,100,4,08 E8 08 00 
7,0.000 000 000,"Idle","Task Info","Task-1 (0x00000468): Priority=1",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,104,12,09 E8 08 01 06 54 61 73 6B 2D 31 00 
8,0.000 000 000,"Idle","Stack Info","Task-1 (0x00000468): 444 @ 0x20000258",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,116,12,15 E8 08 D8 84 80 80 02 BC 03 00 00 
9,0.000 000 000,"Idle","Task Ready","Task-1, runs after 0.000 us",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,128,4,06 E8 08 00 
10,0.000 000 000,"Idle","Task Create","Task-2 (0x000006D8)",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,132,4,08 D8 0D 00 
11,0.000 000 000,"Idle","Task Info","Task-2 (0x000006D8): Priority=2",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,136,12,09 D8 0D 02 06 54 61 73 6B 2D 32 00 
12,0.000 000 000,"Idle","Stack Info","Task-2 (0x000006D8): 444 @ 0x200004C8",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,148,12,15 D8 0D C8 89 80 80 02 BC 03 00 00 
13,0.000 000 000,"Idle","Task Ready","Task-2, runs after 0.000 us",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,160,4,06 D8 0D 00 
14,0.000 000 000,"Idle","Task Create","Task 0x948 (0x00000948)",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,164,4,08 C8 12 00 
15,0.000 000 000,"Idle","Task Ready","Task 0x948",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,168,4,06 C8 12 00 
16,0.000 000 000,"Idle","xQueueGenericCreate","uxQueueLength=10 uxItemSize=12 ucQueueType=0",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,115,172,6,73 03 0A 0C 00 00 
17,0.000 000 000,"Idle","vQueueAddToRegistry","xQueue=0x200009A8 pcName=134242260",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,113,178,9,71 06 A8 13 D4 BF 81 40 00 
18,0.000 000 000,"Idle","Task Create","Tmr Svc (0x00000E98)",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,187,4,08 98 1D 00 
19,0.000 000 000,"Idle","Task Info","Tmr Svc (0x00000E98): Priority=2",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,191,13,09 98 1D 02 07 54 6D 72 20 53 76 63 00 
20,0.000 000 000,"Idle","Stack Info","Tmr Svc (0x00000E98): 964 @ 0x20000A80",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,204,12,15 98 1D 80 95 80 80 02 C4 07 00 00 
21,0.000 000 000,"Idle","Task Ready","Tmr Svc, runs after 0.000 us",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,216,4,06 98 1D 00 
22,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000000000000000,0x000000010000000F,0x000000010000000F,2,220,3,02 0F 00 
23,0.000 000 000,"SysTick","ISR Exit","Returns to Scheduler",0,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,223,2,12 00 
24,0.000 000 000,"Task-2","Task Run","Runs for 0.000 us",0,0x0000000400000000,0x00000008000006D8,0x00000008000006D8,4,225,4,04 D8 0D 00 
25,0.000 000 000,"Task-2","Log","Green Led Task!!",0,0x00000008000006D8,0x00000008000006D8,0x00000008000006D8,26,229,22,1A 13 10 47 72 65 65 6E 20 4C 65 64 20 54 61 73 6B 21 21 00 00 00 
26,0.000 000 000,"Task-2","vTaskDelay","xTicksToDelay=100",0,0x00000008000006D8,0x00000008000006D8,0x00000008000006D8,35,251,4,23 01 64 00 
27,0.000 000 000,"Task-2","Task Block","Delayed",0,0x00000008000006D8,0x00000008000006D8,0x0000000400000000,7,255,5,07 D8 0D 04 00 
28,0.000 000 000,"Tmr Svc","Task Run","Runs for 0.000 us",0,0x0000000400000000,0x0000000800000E98,0x0000000800000E98,4,260,4,04 98 1D 00 
29,0.000 000 000,"Tmr Svc","vTaskDelayUntil","",0,0x0000000800000E98,0x0000000800000E98,0x0000000800000E98,36,264,3,24 00 00 
30,0.000 000 000,"Tmr Svc","Task Block","Reason=27",0,0x0000000800000E98,0x0000000800000E98,0x0000000400000000,7,267,5,07 98 1D 1B 00 
31,0.000 000 000,"Task-1","Task Run","Runs for 0.000 us",0,0x0000000400000000,0x0000000800000468,0x0000000800000468,4,272,4,04 E8 08 00 
32,0.000 000 000,"Task-1","Log","Red Led Task!!",0,0x0000000800000468,0x0000000800000468,0x0000000800000468,26,276,20,1A 11 0E 52 65 64 20 4C 65 64 20 54 61 73 6B 21 21 00 00 00 
33,0.000 000 000,"Task-1","vTaskDelay","xTicksToDelay=1000",0,0x0000000800000468,0x0000000800000468,0x0000000800000468,35,296,5,23 02 E8 07 00 
34,0.000 000 000,"Task-1","Task Block","Delayed",0,0x0000000800000468,0x0000000800000468,0x0000000400000000,7,301,5,07 E8 08 04 00 
35,0.000 000 000,"Idle","System Idle","Idle for 0.000 us",0,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,306,2,11 00 
36,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,308,3,02 0F 00 
37,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,311,2,03 00 
38,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,313,3,02 0F 00 
39,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,316,2,03 00 
40,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,318,3,02 0F 00 
41,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,321,2,03 00 
42,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,323,3,02 0F 00 
43,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,326,2,03 00 
44,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,328,3,02 0F 00 
45,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,331,2,03 00 
46,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,333,3,02 0F 00 
47,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,336,2,03 00 
48,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,338,3,02 0F 00 
49,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,341,2,03 00 
50,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,343,3,02 0F 00 
51,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,346,2,03 00 
52,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,348,3,02 0F 00 
53,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,351,2,03 00 
54,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,353,3,02 0F 00 
55,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,356,2,03 00 
56,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,358,3,02 0F 00 
57,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,361,2,03 00 
58,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,363,3,02 0F 00 
59,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,366,2,03 00 
60,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,368,3,02 0F 00 
61,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,371,2,03 00 
62,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,373,3,02 0F 00 
63,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,376,2,03 00 
64,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,378,3,02 0F 00 
65,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,381,2,03 00 
66,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,383,3,02 0F 00 
67,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,386,2,03 00 
68,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,388,3,02 0F 00 
69,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,391,2,03 00 
70,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,393,3,02 0F 00 
71,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,396,2,03 00 
72,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,398,3,02 0F 00 
73,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,401,2,03 00 
74,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,403,3,02 0F 00 
75,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,406,2,03 00 
76,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,408,3,02 0F 00 
77,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,411,2,03 00 
78,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,413,3,02 0F 00 
79,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,416,2,03 00 
80,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,418,3,02 0F 00 
81,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,421,2,03 00 
82,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,423,3,02 0F 00 
83,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,426,2,03 00 
84,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,428,3,02 0F 00 
85,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,431,2,03 00 
86,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,433,3,02 0F 00 
87,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,436,2,03 00 
88,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,438,3,02 0F 00 
89,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,441,2,03 00 
90,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,443,3,02 0F 00 
91,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,446,2,03 00 
92,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,448,3,02 0F 00 
93,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,451,2,03 00 
94,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,453,3,02 0F 00 
95,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,456,2,03 00 
96,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,458,3,02 0F 00 
97,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,461,2,03 00 
98,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,463,3,02 0F 00 
99,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,466,2,03 00 
100,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,468,3,02 0F 00 
101,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,471,2,03 00 
102,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,473,3,02 0F 00 
103,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,476,2,03 00 
104,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,478,3,02 0F 00 
105,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,481,2,03 00 
106,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,483,3,02 0F 00 
107,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,486,2,03 00 
108,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,488,3,02 0F 00 
109,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,491,2,03 00 
110,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,493,3,02 0F 00 
111,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,496,2,03 00 
112,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,498,3,02 0F 00 
113,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,501,2,03 00 
114,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,503,3,02 0F 00 
115,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,506,2,03 00 
116,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,508,3,02 0F 00 
117,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,511,2,03 00 
118,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,513,3,02 0F 00 
119,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,516,2,03 00 
120,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,518,3,02 0F 00 
121,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,521,2,03 00 
122,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,523,3,02 0F 00 
123,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,526,2,03 00 
124,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,528,3,02 0F 00 
125,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,531,2,03 00 
126,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,533,3,02 0F 00 
127,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,536,2,03 00 
128,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,538,3,02 0F 00 
129,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,541,2,03 00 
130,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,543,3,02 0F 00 
131,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,546,2,03 00 
132,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,548,3,02 0F 00 
133,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,551,2,03 00 
134,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,553,3,02 0F 00 
135,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,556,2,03 00 
136,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,558,3,02 0F 00 
137,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,561,2,03 00 
138,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,563,3,02 0F 00 
139,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,566,2,03 00 
140,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,568,3,02 0F 00 
141,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,571,2,03 00 
142,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,573,3,02 0F 00 
143,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,576,2,03 00 
144,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,578,3,02 0F 00 
145,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,581,2,03 00 
146,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,583,3,02 0F 00 
147,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,586,2,03 00 
148,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,588,3,02 0F 00 
149,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,591,2,03 00 
150,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,593,3,02 0F 00 
151,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,596,2,03 00 
152,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,598,3,02 0F 00 
153,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,601,2,03 00 
154,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,603,3,02 0F 00 
155,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,606,2,03 00 
156,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,608,3,02 0F 00 
157,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,611,2,03 00 
158,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,613,3,02 0F 00 
159,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,616,2,03 00 
160,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,618,3,02 0F 00 
161,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,621,2,03 00 
162,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,623,3,02 0F 00 
163,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,626,2,03 00 
164,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,628,3,02 0F 00 
165,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,631,2,03 00 
166,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,633,3,02 0F 00 
167,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,636,2,03 00 
168,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,638,3,02 0F 00 
169,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,641,2,03 00 
170,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,643,3,02 0F 00 
171,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,646,2,03 00 
172,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,648,3,02 0F 00 
173,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,651,2,03 00 
174,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,653,3,02 0F 00 
175,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,656,2,03 00 
176,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,658,3,02 0F 00 
177,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,661,2,03 00 
178,0.000 000 000,"SysTick","ISR Enter","Runs for 0.000 us",0,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,663,3,02 0F 00 
179,0.000 000 000,"SysTick","ISR Exit","Returns to Idle",0,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,666,2,03 00 
